paciente_enumSexoBiologico,paciente_idade,vacina_descricao_dose,vacina_nome,vacina_categoria_nome,vacina_grupoAtendimento_nome,data,dose,contagem,0
F,1,1ª Dose,Covid-19-Coronavac-Sinovac/Butantan,Trabalhadores de Saúde,Outros,2021-05-08,1,1,1
F,3,2ª Dose,Covid-19-Coronavac-Sinovac/Butantan,Trabalhadores da Educação,Ensino Básico,2021-05-08,2,1,1
F,4,1ª Dose,Vacina Covid-19 - Covishield,Faixa Etária,Pessoas de 60 a 64 anos,2021-05-08,1,1,1
F,5,1ª Dose,Vacina Covid-19 - Covishield,Faixa Etária,Pessoas de 60 a 64 anos,2021-05-08,1,1,1
F,13,1ª Dose,Vacina Covid-19 - Covishield,Faixa Etária,Pessoas de 60 a 64 anos,2021-05-08,1,1,1
F,16,1ª Dose,Vacina covid-19 - BNT162b2 - BioNTech/Fosun Pharma/Pfizer,Faixa Etária,Pessoas de 60 a 64 anos,2021-05-08,1,1,1
F,17,1ª Dose,Vacina Covid-19 - Covishield,Trabalhadores de Saúde,Outros,2021-05-08,1,1,1
F,18,1ª Dose,Covid-19-Coronavac-Sinovac/Butantan,Trabalhadores de Saúde,Outros,2021-05-08,1,1,1
F,18,1ª Dose,Vacina Covid-19 - Covishield,Pessoas com Deficiência,Pessoas com Deficiência Institucionalizadas,2021-05-08,1,1,1
F,18,1ª Dose,Vacina Covid-19 - Covishield,Pessoas com Deficiência,Pessoas com Deficiências Permanente Grave,2021-05-08,1,1,1
F,18,1ª Dose,Vacina Covid-19 - Covishield,Trabalhadores de Saúde,Outros,2021-05-08,1,1,28
F,18,1ª Dose,Vacina Covid-19 - Covishield,Trabalhadores de Saúde,Segurança,2021-05-08,1,1,1
F,18,2ª Dose,Covid-19-Coronavac-Sinovac/Butantan,Trabalhadores de Saúde,Outros,2021-05-08,2,1,1
F,18,2ª Dose,Vacina Covid-19 - Covishield,Pessoas com Deficiência,Pessoas com Deficiência Institucionalizadas,2021-05-08,2,1,1
F,18,2ª Dose,Vacina Covid-19 - Covishield,Trabalhadores de Saúde,Outros,2021-05-08,2,1,1
F,19,1ª Dose,Covid-19-Coronavac-Sinovac/Butantan,Trabalhadores de Saúde,Outros,2021-05-08,1,1,1
F,19,1ª Dose,Vacina Covid-19 - Covishield,Trabalhadores de Saúde,Outros,2021-05-08,1,1,66
F,19,1ª Dose,Vacina covid-19 - BNT162b2 - BioNTech/Fosun Pharma/Pfizer,Trabalhadores de Saúde,Estudante,2021-05-08,1,1,2
F,19,2ª Dose,Covid-19-Coronavac-Sinovac/Butantan,Trabalhadores de Saúde,Outros,2021-05-08,2,1,3
F,19,2ª Dose,Vacina Covid-19 - Covishield,Trabalhadores de Saúde,Outros,2021-05-08,2,1,1
F,20,1ª Dose,Covid-19-Coronavac-Sinovac/Butantan,Trabalhadores de Saúde,Outros,2021-05-08,1,1,5
F,20,1ª Dose,Vacina Covid-19 - Covishield,Trabalhadores da Educação,Ensino Básico,2021-05-08,1,1,1
F,20,1ª Dose,Vacina Covid-19 - Covishield,Trabalhadores de Saúde,Estudante,2021-05-08,1,1,1
F,20,1ª Dose,Vacina Covid-19 - Covishield,Trabalhadores de Saúde,Outros,2021-05-08,1,1,75
F,20,1ª Dose,Vacina Covid-19 - Covishield,Trabalhadores de Saúde,Segurança,2021-05-08,1,1,1
F,20,1ª Dose,Vacina Covid-19 - Covishield,Trabalhadores de Saúde,Técnico de Odontologia,2021-05-08,1,1,1
F,20,1ª Dose,Vacina covid-19 - BNT162b2 - BioNTech/Fosun Pharma/Pfizer,Trabalhadores de Saúde,Estudante,2021-05-08,1,1,7
F,20,2ª Dose,Covid-19-Coronavac-Sinovac/Butantan,Trabalhadores de Saúde,Outros,2021-05-08,2,1,1
F,20,2ª Dose,Vacina Covid-19 - Covishield,Trabalhadores da Educação,Ensino Básico,2021-05-08,2,1,1
F,20,2ª Dose,Vacina Covid-19 - Covishield,Trabalhadores de Saúde,Outros,2021-05-08,2,1,3
